Date,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum
201103,0.46,0.0046,2.54,-1.83,0.01,0,0.0253,-0.0184,1.273887671,1.317388896,0.96202348
201104,2.9,0.029,-0.38,-2.43,0,0.03,-0.0038,-0.0243,1.310830413,1.312382818,0.938646309
201105,-1.27,-0.0127,-0.59,-2.12,0,-0.01,-0.0059,-0.0212,1.294182867,1.304639759,0.918747007
201106,-1.75,-0.0175,-0.12,-0.42,0,-0.02,-0.0012,-0.0042,1.271534667,1.303074192,0.91488827
201107,-2.35,-0.0235,-1.26,-0.9,0,-0.02,-0.0126,-0.009,1.241653602,1.286655457,0.906654275
201108,-5.99,-0.0599,-3.05,-2.36,0.01,-0.06,-0.0306,-0.0237,1.167278552,1.2472838,0.885166569
201109,-7.59,-0.0759,-3.31,-1.72,0,-0.07,-0.0331,-0.0172,1.07868211,1.205998706,0.869941704
201110,11.35,0.1135,3.28,0.1,0,0.1,0.0328,0.001,1.201112529,1.245555464,0.870811646
201111,-0.28,-0.0028,-0.16,-0.46,0,-0.01,-0.0016,-0.0046,1.197749414,1.243562575,0.866805912
201112,0.74,0.0074,-0.59,1.63,0,0.01,-0.0059,0.0163,1.20661276,1.236225556,0.880934849
201201,5.05,0.0505,2.04,-0.97,0,0.04,0.0204,-0.0097,1.267546704,1.261444557,0.872389781
201202,4.42,0.0442,-1.85,0.43,0,0.04,-0.0185,0.0043,1.323572268,1.238107833,0.876141057
201203,3.11,0.0311,-0.64,1.14,0,0.03,-0.0064,0.0114,1.364735366,1.230183943,0.886129065
201204,-0.85,-0.0085,-0.42,-0.78,0,-0.01,-0.0042,-0.0078,1.353135115,1.22501717,0.879217258
201205,-6.19,-0.0619,0.07,-1.07,0.01,-0.06,0.0006,-0.0108,1.269376052,1.22575218,0.869721712
201206,3.89,0.0389,0.67,0.62,0,0.04,0.0067,0.0062,1.31875478,1.23396472,0.875113986
201207,0.79,0.0079,-2.74,-0.02,0,0.01,-0.0274,-0.0002,1.329172943,1.200154087,0.874938963
201208,2.55,0.0255,0.47,1.3,0.01,0.02,0.0046,0.0129,1.363066853,1.205674795,0.886225676
201209,2.73,0.0273,0.5,1.6,0.01,0.02,0.0049,0.0159,1.400278578,1.211582602,0.900316664
201210,-1.76,-0.0176,-1.15,3.59,0.01,-0.02,-0.0116,0.0358,1.375633675,1.197528244,0.932548001
201211,0.78,0.0078,0.63,-0.84,0.01,0,0.0062,-0.0085,1.386363617,1.204952919,0.924621343
201212,1.18,0.0118,1.48,3.51,0.01,0.01,0.0147,0.035,1.402722708,1.222665727,0.95698309
201301,5.57,0.0557,0.33,0.96,0,0.05,0.0033,0.0096,1.480854363,1.226700524,0.966170127
201302,1.29,0.0129,-0.27,0.11,0,0.01,-0.0027,0.0011,1.499957384,1.223388432,0.967232915
201303,4.03,0.0403,0.81,-0.19,0,0.04,0.0081,-0.0019,1.560405667,1.233297879,0.965395172
201304,1.55,0.0155,-2.37,0.45,0,0.02,-0.0237,0.0045,1.584591955,1.204068719,0.96973945
201305,2.8,0.028,1.7,2.63,0,0.02,0.017,0.0263,1.628960529,1.224537887,0.995243598
201306,-1.2,-0.012,1.33,0.03,0,-0.02,0.0133,0.0003,1.609413003,1.240824241,0.995542171
201307,5.65,0.0565,1.87,0.57,0,0.05,0.0187,0.0057,1.700344838,1.264027654,1.001216761
201308,-2.71,-0.0271,0.27,-2.69,0,-0.03,0.0027,-0.0269,1.654265493,1.267440529,0.97428403
201309,3.77,0.0377,2.88,-1.22,0,0.03,0.0288,-0.0122,1.716631302,1.303942816,0.962397765
201310,4.18,0.0418,-1.53,1.25,0,0.04,-0.0153,0.0125,1.78838649,1.283992491,0.974427737
201311,3.13,0.0313,1.29,0.32,0,0.03,0.0129,0.0032,1.844362987,1.300555994,0.977545906
201312,2.81,0.0281,-0.46,-0.02,0,0.02,-0.0046,-0.0002,1.896189587,1.294573437,0.977350397
201401,-3.32,-0.0332,0.89,-2.07,0,-0.04,0.0089,-0.0207,1.833236093,1.30609514,0.957119244
201402,4.65,0.0465,0.35,-0.31,0,0.04,0.0035,-0.0031,1.918481571,1.310666473,0.954152174
201403,0.43,0.0043,-1.81,4.93,0,0.01,-0.0181,0.0493,1.926731042,1.28694341,1.001191876
201404,-0.19,-0.0019,-4.19,1.17,0,0.01,-0.0419,0.0117,1.923070253,1.233020481,1.012905821
201405,2.06,0.0206,-1.88,-0.13,0,0.02,-0.0188,-0.0013,1.9626855,1.209839696,1.011589044
201406,2.61,0.0261,3.09,-0.7,0,0.02,0.0309,-0.007,2.013911592,1.247223743,1.00450792
201407,-2.04,-0.0204,-4.29,0.03,0,-0.02,-0.0429,0.0003,1.972827795,1.193717844,1.004809273
201408,4.24,0.0424,0.4,-0.45,0,0.04,0.004,-0.0045,2.056475694,1.198492716,1.000287631
201409,-1.97,-0.0197,-3.71,-1.34,0,-0.02,-0.0371,-0.0134,2.015963123,1.154028636,0.986883777
201410,2.52,0.0252,4.21,-1.81,0,0.02,0.0421,-0.0181,2.066765393,1.202613241,0.96902118
201411,2.55,0.0255,-2.06,-3.09,0,0.02,-0.0206,-0.0309,2.119467911,1.177839409,0.939078426
201412,-0.06,-0.0006,2.49,2.27,0,0,0.0249,0.0227,2.11819623,1.20716761,0.960395506
201501,-3.11,-0.0311,-0.56,-3.58,0,-0.03,-0.0056,-0.0358,2.052320327,1.200407471,0.926013347
201502,6.13,0.0613,0.63,-1.86,0,0.05,0.0063,-0.0186,2.178127563,1.207970038,0.908789499
201503,-1.12,-0.0112,3.04,-0.37,0,-0.02,0.0304,-0.0037,2.153732535,1.244692327,0.905426978
201504,0.59,0.0059,-3.06,1.82,0,0.01,-0.0306,0.0182,2.166439557,1.206604742,0.921905749
201505,1.36,0.0136,0.93,-1.14,0,0.01,0.0093,-0.0114,2.195903135,1.217826166,0.911396023
201506,-1.53,-0.0153,2.91,-0.79,0,-0.02,0.0291,-0.0079,2.162305817,1.253264908,0.904195994
201507,1.54,0.0154,-4.17,-4.13,0,0.02,-0.0417,-0.0413,2.195605326,1.201003761,0.8668527
201508,-6.04,-0.0604,0.33,2.77,0,-0.06,0.0033,0.0277,2.062990765,1.204967074,0.89086452
201509,-3.07,-0.0307,-2.62,0.56,0,-0.03,-0.0262,0.0056,1.999656948,1.173396936,0.895853361
